Date,Month,Visitors (Visit),Buyers (Placed Orders),Units (Placed Orders),Orders (Placed Orders),Sales (Placed Orders) (VND),Conversion Rate (Visit to Placed),Buyers (Confirmed Orders),Units(Confirmed Orders),Orders (Confirmed Orders),Sales(Confirmed Orders) (VND),Sales per Buyer (Confirmed Orders) (VND),Conversion Rate
3/8/2025,3,782564,3581,7206,4037,1270685092,0.46%,3294,6270,3505,1105288869,335546,0.42%
3/9/2025,3,900817,3494,6814,3862,1194846586,0.39%,3266,5978,3392,1040033439,318443,0.36%
3/10/2025,3,815030,3725,7196,4122,1256018781,0.46%,3474,6340,3632,1103503488,317646,0.43%
3/11/2025,3,740230,6338,12837,7033,1818202816,0.86%,5734,11024,5993,1569924765,273792,0.77%
3/12/2025,3,885906,6451,15415,7399,2134479030,0.73%,5856,12723,6196,1767002619,301742,0.66%
3/13/2025,3,949417,13770,36965,16993,4553400751,1.45%,12316,30024,13841,3683396824,299074,1.30%
3/14/2025,3,944278,9718,27533,12408,3563958016,1.03%,8296,21471,9683,2745600231,330955,0.88%
3/15/2025,3,1525396,25849,68242,31886,8675005530,1.69%,22769,54672,25489,6876751779,302023,1.49%
3/16/2025,3,944984,4442,8018,4969,1302444998,0.47%,5200,9724,5486,1431171927,275225,0.55%
3/17/2025,3,797231,3806,6852,4235,1127456459,0.48%,3615,6171,3785,1007288897,278641,0.45%
3/18/2025,3,861004,3774,6646,4150,1068593499,0.44%,3563,5910,3705,945766441,265441,0.41%
3/19/2025,3,823238,3854,6930,4290,1128764512,0.47%,3583,6094,3749,988506849,275888,0.44%
3/20/2025,3,874757,3192,6598,3592,1046572311,0.36%,2986,5683,3129,902238897,302156,0.34%
3/21/2025,3,706180,3298,6962,3766,1090883034,0.47%,3059,5971,3231,934882985,305617,0.43%
3/22/2025,3,695897,3297,6296,3635,1031779924,0.47%,3066,5542,3189,902471868,294348,0.44%
3/23/2025,3,743647,3575,6602,3932,1086290887,0.48%,3307,5775,3452,941162074,284597,0.44%
3/24/2025,3,904252,5661,11964,6560,1771424962,0.63%,4768,9210,5110,1382019923,289853,0.53%
3/25/2025,3,1068423,15958,40335,19482,5104617753,1.49%,14114,32488,15745,4092813351,289983,1.32%
3/26/2025,3,687226,3699,6809,4119,1072464075,0.54%,3968,7257,4158,1072671937,270331,0.58%
3/27/2025,3,538254,3335,6054,3700,965014782,0.62%,3144,5397,3308,844481512,268601,0.58%
3/28/2025,3,443601,3120,5624,3419,901548854,0.70%,2922,5055,3046,801659218,274353,0.66%
3/29/2025,3,536486,3356,6128,3756,951988377,0.63%,3111,5369,3284,826106966,265544,0.58%
3/30/2025,3,648166,3464,6374,3797,1011471762,0.53%,3173,5552,3297,873861946,275406,0.49%
3/31/2025,3,561545,3534,6319,3893,1024526864,0.63%,3247,5516,3388,886940229,273157,0.58%
4/1/2025,4,676124,4057,7731,4521,1276547206,0.60%,3812,6797,3978,1115072701,292516,0.56%
